Symptom,Description
Fatigue,"Feeling tired, exhausted or lacking energy even after rest"
Weakness,Reduced physical strength or inability to perform usual tasks
Lethargy,"General sluggishness,  low energy  or mental inactivity"
Restlessness,"Feeling unable to relax,  constant fidgeting or agitation"
Decreased exercise tolerance,Becoming tired quickly or unable to sustain physical activity
Shortness of breath,Difficulty breathing or feeling unable to get enough air
Rapid or irregular heartbeats,Heart beating faster or irregularly at rest or activity
Prolonged bleeding,Bleeding that lasts longer than normal after injury
Bruising,Unexplained or excessive discoloration of the skin due to bleeding under the skin
Pale skin,Noticeable paleness of the skin indicating reduced blood flow or anemia
Jaundice,Yellowing of the skin or eyes due to elevated bilirubin levels
Irregular sugar level,Abnormal fluctuations in blood glucose levels
Excessive hunger,"Strong desire to eat frequently, often beyond normal appetite"
Increased thirst,Feeling unusually thirsty and needing to drink more fluids
Polyuria,Urinating more frequently or in larger volumes than normal
Frequent urination,Urinating more often than usual
Frequent infections,Experiencing infections more often than normal
Weight loss,Unintentional reduction in body weight over time
Obesity,Excessive body fat accumulation leading to increased body weight
Blurred and distorted vision,Partial loss of clarity in vision or distorted images
Slow healing of wounds,Wounds taking longer than
